username,repo_name,stars,repo_url
mrdoob,three.js,82400,https://github.com/topics/mrdoob/three.js
libgdx,libgdx,20100,https://github.com/topics/libgdx/libgdx
pmndrs,react-three-fiber,18200,https://github.com/topics/pmndrs/react-three-fiber
BabylonJS,Babylon.js,17500,https://github.com/topics/BabylonJS/Babylon.js
aframevr,aframe,14200,https://github.com/topics/aframevr/aframe
ssloy,tinyrenderer,13800,https://github.com/topics/ssloy/tinyrenderer
lettier,3d-game-shaders-for-beginners,13000,https://github.com/topics/lettier/3d-game-shaders-for-beginners
FreeCAD,FreeCAD,11400,https://github.com/topics/FreeCAD/FreeCAD
metafizzy,zdog,9200,https://github.com/topics/metafizzy/zdog
CesiumGS,cesium,8700,https://github.com/topics/CesiumGS/cesium
timzhang642,3D-Machine-Learning,8000,https://github.com/topics/timzhang642/3D-Machine-Learning
a1studmuffin,SpaceshipGenerator,7100,https://github.com/topics/a1studmuffin/SpaceshipGenerator
isl-org,Open3D,6800,https://github.com/topics/isl-org/Open3D
blender,blender,5700,https://github.com/topics/blender/blender
domlysz,BlenderGIS,5300,https://github.com/topics/domlysz/BlenderGIS
spritejs,spritejs,4900,https://github.com/topics/spritejs/spritejs
openscad,openscad,4800,https://github.com/topics/openscad/openscad
jagenjo,webglstudio.js,4600,https://github.com/topics/jagenjo/webglstudio.js
tensorspace-team,tensorspace,4600,https://github.com/topics/tensorspace-team/tensorspace
YadiraF,PRNet,4600,https://github.com/topics/YadiraF/PRNet
AaronJackson,vrn,4400,https://github.com/topics/AaronJackson/vrn
google,model-viewer,4400,https://github.com/topics/google/model-viewer
ssloy,tinyraytracer,4200,https://github.com/topics/ssloy/tinyraytracer
mosra,magnum,4000,https://github.com/topics/mosra/magnum
FyroxEngine,Fyrox,4000,https://github.com/topics/FyroxEngine/Fyrox
gfxfundamentals,webgl-fundamentals,3600,https://github.com/topics/gfxfundamentals/webgl-fundamentals
tengbao,vanta,3600,https://github.com/topics/tengbao/vanta
cleardusk,3DDFA,3300,https://github.com/topics/cleardusk/3DDFA
jasonlong,isometric-contributions,3200,https://github.com/topics/jasonlong/isometric-contributions
cnr-isti-vclab,meshlab,3000,https://github.com/topics/cnr-isti-vclab/meshlab
ljianshu,Blog,7100,https://github.com/topics/ljianshu/Blog
developit,unfetch,5300,https://github.com/topics/developit/unfetch
jquery-form,form,5100,https://github.com/topics/jquery-form/form
olifolkerd,tabulator,4600,https://github.com/topics/olifolkerd/tabulator
ded,reqwest,2900,https://github.com/topics/ded/reqwest
elbywan,wretch,2400,https://github.com/topics/elbywan/wretch
yisainan,web-interview,2000,https://github.com/topics/yisainan/web-interview
ptaoussanis,sente,1600,https://github.com/topics/ptaoussanis/sente
nette,tracy,1500,https://github.com/topics/nette/tracy
k8w,tsrpc,1100,https://github.com/topics/k8w/tsrpc
swlib,saber,957,https://github.com/topics/swlib/saber
opensource-socialnetwork,opensource-socialnetwork,863,https://github.com/topics/opensource-socialnetwork/opensource-socialnetwork
webcreate,infinite-ajax-scroll,859,https://github.com/topics/webcreate/infinite-ajax-scroll
karosLi,KKJSBridge,580,https://github.com/topics/karosLi/KKJSBridge
cferdinandi,atomic,540,https://github.com/topics/cferdinandi/atomic
GoogTech,sms-ssm,508,https://github.com/topics/GoogTech/sms-ssm
englercj,resource-loader,397,https://github.com/topics/englercj/resource-loader
jsGanttImproved,jsgantt-improved,381,https://github.com/topics/jsGanttImproved/jsgantt-improved
klis87,redux-requests,362,https://github.com/topics/klis87/redux-requests
dashborg,hibiki,418,https://github.com/topics/dashborg/hibiki
loadingio,loading-bar,355,https://github.com/topics/loadingio/loading-bar
yceruto,django-ajax,315,https://github.com/topics/yceruto/django-ajax
trco,django-bootstrap-modal-forms,318,https://github.com/topics/trco/django-bootstrap-modal-forms
tulios,mappersmith,307,https://github.com/topics/tulios/mappersmith
anzhihe,Free-Web-Books,300,https://github.com/topics/anzhihe/Free-Web-Books
davgothic,AjaxFileUpload,297,https://github.com/topics/davgothic/AjaxFileUpload
donavon,thwack,272,https://github.com/topics/donavon/thwack
GerryIsWarrior,ajax,265,https://github.com/topics/GerryIsWarrior/ajax
maliangnansheng,bbs-ssm,273,https://github.com/topics/maliangnansheng/bbs-ssm
kishan0725,AJAX-Movie-Recommendation-System-with-Sentiment-Analysis,265,https://github.com/topics/kishan0725/AJAX-Movie-Recommendation-System-with-Sentiment-Analysis
jwasham,coding-interview-university,221000,https://github.com/topics/jwasham/coding-interview-university
CyC2018,CS-Notes,152000,https://github.com/topics/CyC2018/CS-Notes
trekhleb,javascript-algorithms,143000,https://github.com/topics/trekhleb/javascript-algorithms
TheAlgorithms,Python,137000,https://github.com/topics/TheAlgorithms/Python
yangshun,tech-interview-handbook,71300,https://github.com/topics/yangshun/tech-interview-handbook
kdn251,interviews,57300,https://github.com/topics/kdn251/interviews
azl397985856,leetcode,48200,https://github.com/topics/azl397985856/leetcode
TheAlgorithms,Java,46200,https://github.com/topics/TheAlgorithms/Java
algorithm-visualizer,algorithm-visualizer,37000,https://github.com/topics/algorithm-visualizer/algorithm-visualizer
youngyangyang04,leetcode-master,27200,https://github.com/topics/youngyangyang04/leetcode-master
crossoverJie,JCSprout,26700,https://github.com/topics/crossoverJie/JCSprout
donnemartin,interactive-coding-challenges,25500,https://github.com/topics/donnemartin/interactive-coding-challenges
halfrost,LeetCode-Go,25400,https://github.com/topics/halfrost/LeetCode-Go
huihut,interview,24400,https://github.com/topics/huihut/interview
keon,algorithms,20900,https://github.com/topics/keon/algorithms
TheAlgorithms,JavaScript,20100,https://github.com/topics/TheAlgorithms/JavaScript
TheAlgorithms,C-Plus-Plus,19500,https://github.com/topics/TheAlgorithms/C-Plus-Plus
trekhleb,homemade-machine-learning,19300,https://github.com/topics/trekhleb/homemade-machine-learning
mxgmn,WaveFunctionCollapse,18600,https://github.com/topics/mxgmn/WaveFunctionCollapse
AtsushiSakai,PythonRobotics,15400,https://github.com/topics/AtsushiSakai/PythonRobotics
greyireland,algorithm-pattern,13500,https://github.com/topics/greyireland/algorithm-pattern
OpenGenus,cosmos,13000,https://github.com/topics/OpenGenus/cosmos
williamfiset,Algorithms,12700,https://github.com/topics/williamfiset/Algorithms
halfrost,Halfrost-Field,11100,https://github.com/topics/halfrost/Halfrost-Field
apachecn,apachecn-algo-zh,10600,https://github.com/topics/apachecn/apachecn-algo-zh
lnishan,awesome-competitive-programming,9700,https://github.com/topics/lnishan/awesome-competitive-programming
jeffgerickson,algorithms,7500,https://github.com/topics/jeffgerickson/algorithms
LeetCode-OpenSource,vscode-leetcode,7300,https://github.com/topics/LeetCode-OpenSource/vscode-leetcode
mgechev,javascript-algorithms,7300,https://github.com/topics/mgechev/javascript-algorithms
gyoogle,tech-interview-for-developer,7200,https://github.com/topics/gyoogle/tech-interview-for-developer
amphp,amp,3600,https://github.com/topics/amphp/amp
danog,MadelineProto,2000,https://github.com/topics/danog/MadelineProto
amphp,http-server,1200,https://github.com/topics/amphp/http-server
unreal4u,telegram-api,715,https://github.com/topics/unreal4u/telegram-api
amphp,http-client,610,https://github.com/topics/amphp/http-client
amphp,parallel,584,https://github.com/topics/amphp/parallel
php-service-bus,service-bus,319,https://github.com/topics/php-service-bus/service-bus
amphp,byte-stream,290,https://github.com/topics/amphp/byte-stream
amphp,mysql,274,https://github.com/topics/amphp/mysql
amphp,parallel-functions,226,https://github.com/topics/amphp/parallel-functions
amphp,process,176,https://github.com/topics/amphp/process
amphp,socket,164,https://github.com/topics/amphp/socket
amphp,redis,128,https://github.com/topics/amphp/redis
amphp,dns,119,https://github.com/topics/amphp/dns
kelunik,acme,110,https://github.com/topics/kelunik/acme
amphp,sync,109,https://github.com/topics/amphp/sync
amphp,websocket-client,103,https://github.com/topics/amphp/websocket-client
PeeHaa,mailgrab,92,https://github.com/topics/PeeHaa/mailgrab
amphp,websocket-server,79,https://github.com/topics/amphp/websocket-server
amphp,file,74,https://github.com/topics/amphp/file
jolicode,asynit,69,https://github.com/topics/jolicode/asynit
amphp,cache,75,https://github.com/topics/amphp/cache
amphp,serialization,74,https://github.com/topics/amphp/serialization
amphp,postgres,65,https://github.com/topics/amphp/postgres
amphp,windows-registry,70,https://github.com/topics/amphp/windows-registry
amphp,hpack,69,https://github.com/topics/amphp/hpack
amphp,beanstalk,59,https://github.com/topics/amphp/beanstalk
phpinnacle,ridge,46,https://github.com/topics/phpinnacle/ridge
amphp,aerys,45,https://github.com/topics/amphp/aerys
amphp,cluster,43,https://github.com/topics/amphp/cluster
flutter,flutter,141000,https://github.com/topics/flutter/flutter
justjavac,free-programming-books-zh_CN,93100,https://github.com/topics/justjavac/free-programming-books-zh_CN
Genymobile,scrcpy,65900,https://github.com/topics/Genymobile/scrcpy
Hack-with-Github,Awesome-Hacking,51200,https://github.com/topics/Hack-with-Github/Awesome-Hacking
google,material-design-icons,45900,https://github.com/topics/google/material-design-icons
wasabeef,awesome-android-ui,42700,https://github.com/topics/wasabeef/awesome-android-ui
square,okhttp,42200,https://github.com/topics/square/okhttp
android,architecture-samples,40900,https://github.com/topics/android/architecture-samples
Solido,awesome-flutter,40800,https://github.com/topics/Solido/awesome-flutter
square,retrofit,40000,https://github.com/topics/square/retrofit
PhilJay,MPAndroidChart,35200,https://github.com/topics/PhilJay/MPAndroidChart
fastlane,fastlane,35000,https://github.com/topics/fastlane/fastlane
airbnb,lottie-android,32800,https://github.com/topics/airbnb/lottie-android
bumptech,glide,32600,https://github.com/topics/bumptech/glide
shadowsocks,shadowsocks-android,32600,https://github.com/topics/shadowsocks/shadowsocks-android
Trinea,android-open-project,30900,https://github.com/topics/Trinea/android-open-project
Blankj,AndroidUtilCode,30900,https://github.com/topics/Blankj/AndroidUtilCode
xitu,gold-miner,30700,https://github.com/topics/xitu/gold-miner
bilibili,ijkplayer,30400,https://github.com/topics/bilibili/ijkplayer
skylot,jadx,30300,https://github.com/topics/skylot/jadx
laurent22,joplin,30000,https://github.com/topics/laurent22/joplin
zxing,zxing,29600,https://github.com/topics/zxing/zxing
codepath,android_guides,27800,https://github.com/topics/codepath/android_guides
square,leakcanary,27600,https://github.com/topics/square/leakcanary
alibaba,fastjson,24600,https://github.com/topics/alibaba/fastjson
scwang90,SmartRefreshLayout,23600,https://github.com/topics/scwang90/SmartRefreshLayout
CymChad,BaseRecyclerViewAdapterHelper,22900,https://github.com/topics/CymChad/BaseRecyclerViewAdapterHelper
appwrite,appwrite,22500,https://github.com/topics/appwrite/appwrite
react-native-elements,react-native-elements,22400,https://github.com/topics/react-native-elements/react-native-elements
google,iosched,21500,https://github.com/topics/google/iosched
justjavac,free-programming-books-zh_CN,93100,https://github.com/topics/justjavac/free-programming-books-zh_CN
angular,angular,81700,https://github.com/topics/angular/angular
storybookjs,storybook,71300,https://github.com/topics/storybookjs/storybook
leonardomso,33-js-concepts,49300,https://github.com/topics/leonardomso/33-js-concepts
ionic-team,ionic-framework,47300,https://github.com/topics/ionic-team/ionic-framework
prettier,prettier,42800,https://github.com/topics/prettier/prettier
SheetJS,sheetjs,30300,https://github.com/topics/SheetJS/sheetjs
angular,angular-cli,25400,https://github.com/topics/angular/angular-cli
angular,components,22700,https://github.com/topics/angular/components
NativeScript,NativeScript,21300,https://github.com/topics/NativeScript/NativeScript
jhipster,generator-jhipster,19600,https://github.com/topics/jhipster/generator-jhipster
goldbergyoni,javascript-testing-best-practices,17700,https://github.com/topics/goldbergyoni/javascript-testing-best-practices
pubkey,rxdb,17500,https://github.com/topics/pubkey/rxdb
handsontable,handsontable,16700,https://github.com/topics/handsontable/handsontable
teambit,bit,15200,https://github.com/topics/teambit/bit
sweetalert2,sweetalert2,14600,https://github.com/topics/sweetalert2/sweetalert2
nrwl,nx,12800,https://github.com/topics/nrwl/nx
linnovate,mean,12200,https://github.com/topics/linnovate/mean
codesandbox,codesandbox-client,11600,https://github.com/topics/codesandbox/codesandbox-client
Chocobozzz,PeerTube,10700,https://github.com/topics/Chocobozzz/PeerTube
PatrickJS,angular-starter,10400,https://github.com/topics/PatrickJS/angular-starter
sudheerj,javascript-interview-questions,10100,https://github.com/topics/sudheerj/javascript-interview-questions
angular,protractor,8800,https://github.com/topics/angular/protractor
dotansimha,graphql-code-generator,8800,https://github.com/topics/dotansimha/graphql-code-generator
jasontaylordev,CleanArchitecture,8700,https://github.com/topics/jasontaylordev/CleanArchitecture
ag-grid,ag-grid,8600,https://github.com/topics/ag-grid/ag-grid
OnsenUI,OnsenUI,8600,https://github.com/topics/OnsenUI/OnsenUI
PatrickJS,awesome-angular,8300,https://github.com/topics/PatrickJS/awesome-angular
NG-ZORRO,ng-zorro-antd,8100,https://github.com/topics/NG-ZORRO/ng-zorro-antd
text-mask,text-mask,8100,https://github.com/topics/text-mask/text-mask
ansible,ansible,53300,https://github.com/topics/ansible/ansible
trailofbits,algo,25600,https://github.com/topics/trailofbits/algo
bregman-arie,devops-exercises,25000,https://github.com/topics/bregman-arie/devops-exercises
StreisandEffect,streisand,22800,https://github.com/topics/StreisandEffect/streisand
MichaelCade,90DaysOfDevOps,13400,https://github.com/topics/MichaelCade/90DaysOfDevOps
kubernetes-sigs,kubespray,12300,https://github.com/topics/kubernetes-sigs/kubespray
ansible,awx,11000,https://github.com/topics/ansible/awx
easzlab,kubeasz,8100,https://github.com/topics/easzlab/kubeasz
geerlingguy,ansible-for-devops,5800,https://github.com/topics/geerlingguy/ansible-for-devops
khuedoan,homelab,5800,https://github.com/topics/khuedoan/homelab
curlconverter,curlconverter,5600,https://github.com/topics/curlconverter/curlconverter
ansible-semaphore,semaphore,5000,https://github.com/topics/ansible-semaphore/semaphore
Tikam02,DevOps-Guide,4800,https://github.com/topics/Tikam02/DevOps-Guide
rundeck,rundeck,4600,https://github.com/topics/rundeck/rundeck
KubeOperator,KubeOperator,4300,https://github.com/topics/KubeOperator/KubeOperator
clong,DetectionLab,3600,https://github.com/topics/clong/DetectionLab
ansible-community,molecule,3400,https://github.com/topics/ansible-community/molecule
opendevops-cn,opendevops,3200,https://github.com/topics/opendevops-cn/opendevops
werf,werf,3100,https://github.com/topics/werf/werf
netbootxyz,netboot.xyz,3100,https://github.com/topics/netbootxyz/netboot.xyz
litmuschaos,litmus,3000,https://github.com/topics/litmuschaos/litmus
welliamcao,OpsManage,2900,https://github.com/topics/welliamcao/OpsManage
ansible,ansible-lint,2800,https://github.com/topics/ansible/ansible-lint
dev-sec,ansible-collection-hardening,2800,https://github.com/topics/dev-sec/ansible-collection-hardening
alixaxel,chrome-aws-lambda,2700,https://github.com/topics/alixaxel/chrome-aws-lambda
roots,trellis,2300,https://github.com/topics/roots/trellis
ansistrano,deploy,2200,https://github.com/topics/ansistrano/deploy
fboender,ansible-cmdb,2100,https://github.com/topics/fboender/ansible-cmdb
openshift,openshift-ansible,2100,https://github.com/topics/openshift/openshift-ansible
pytest-dev,pytest-testinfra,2100,https://github.com/topics/pytest-dev/pytest-testinfra
public-apis,public-apis,195000,https://github.com/topics/public-apis/public-apis
neovim,neovim,54100,https://github.com/topics/neovim/neovim
tiangolo,fastapi,45800,https://github.com/topics/tiangolo/fastapi
strapi,strapi,45300,https://github.com/topics/strapi/strapi
hoppscotch,hoppscotch,43900,https://github.com/topics/hoppscotch/hoppscotch
slatedocs,slate,34100,https://github.com/topics/slatedocs/slate
hasura,graphql-engine,26900,https://github.com/topics/hasura/graphql-engine
ccxt,ccxt,24700,https://github.com/topics/ccxt/ccxt
Binaryify,NeteaseCloudMusicApi,24300,https://github.com/topics/Binaryify/NeteaseCloudMusicApi
YMFE,yapi,24300,https://github.com/topics/YMFE/yapi
encode,django-rest-framework,23500,https://github.com/topics/encode/django-rest-framework
littlecodersh,ItChat,22200,https://github.com/topics/littlecodersh/ItChat
httpie,httpie,21800,https://github.com/topics/httpie/httpie
Kong,insomnia,21100,https://github.com/topics/Kong/insomnia
paularmstrong,normalizr,20900,https://github.com/topics/paularmstrong/normalizr
FallibleInc,security-guide-for-developers,20200,https://github.com/topics/FallibleInc/security-guide-for-developers
microsoft,api-guidelines,19300,https://github.com/topics/microsoft/api-guidelines
pubkey,rxdb,17500,https://github.com/topics/pubkey/rxdb
shieldfy,API-Security-Checklist,17200,https://github.com/topics/shieldfy/API-Security-Checklist
directus,directus,16200,https://github.com/topics/directus/directus
ChainSafe,web3.js,15200,https://github.com/topics/ChainSafe/web3.js
learn-anything,learn-anything,14000,https://github.com/topics/learn-anything/learn-anything
youfou,wxpy,13300,https://github.com/topics/youfou/wxpy
jsdoc,jsdoc,12900,https://github.com/topics/jsdoc/jsdoc
BrainJS,brain.js,12600,https://github.com/topics/BrainJS/brain.js
OpenAPITools,openapi-generator,12300,https://github.com/topics/OpenAPITools/openapi-generator
fangzesheng,free-api,12300,https://github.com/topics/fangzesheng/free-api
go-chi,chi,11500,https://github.com/topics/go-chi/chi
graphile,postgraphile,11300,https://github.com/topics/graphile/postgraphile
postmanlabs,httpbin,10900,https://github.com/topics/postmanlabs/httpbin
